City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lata,PT,40.1629,-8.3327,41.07,87,37,1.07,scattered clouds
1,Kirakira,SB,-10.4544,161.9205,84.02,73,94,13.6,light rain
2,Khatanga,RU,71.9667,102.5,-31.22,100,35,6.89,scattered clouds
3,Kilindoni,TZ,-7.9139,39.6668,79.95,77,97,7.09,overcast clouds
4,Turukhansk,RU,65.8167,87.9833,-16.46,79,100,7.85,overcast clouds
5,College,US,64.8569,-147.8028,-8.93,76,40,0.0,haze
6,Faanui,PF,-16.4833,-151.75,80.82,72,18,14.41,light rain
7,Mahebourg,MU,-20.4081,57.7,78.26,94,75,20.71,moderate rain
8,Avarua,CK,-21.2078,-159.775,78.85,89,75,6.91,light rain
9,East London,ZA,-33.0153,27.9116,77.7,83,70,16.4,broken clouds
10,Bahia Honda,CU,22.9036,-83.1592,71.6,80,26,7.87,scattered clouds
11,Rikitea,PF,-23.1203,-134.9692,78.12,69,79,2.57,broken clouds
12,Jesup,US,31.6074,-81.8854,69.94,78,100,0.0,overcast clouds
13,Valparaiso,CL,-33.0393,-71.6273,68.23,88,0,8.05,clear sky
14,Kollam,IN,8.8833,76.6,70.92,78,10,11.99,clear sky
15,Lompoc,US,34.6391,-120.4579,59.14,66,20,12.66,few clouds
16,Busselton,AU,-33.65,115.3333,67.42,54,8,15.35,clear sky
17,Coihaique,CL,-45.5752,-72.0662,84.81,20,0,0.0,clear sky
18,Bluff,NZ,-46.6,168.3333,63.68,67,23,2.98,few clouds
19,Castro,BR,-24.7911,-50.0119,62.29,93,93,1.61,moderate rain
20,Chifeng,CN,42.2683,118.9636,6.89,85,4,3.02,clear sky
21,Jamestown,US,42.097,-79.2353,35.24,60,100,6.91,mist
22,Vila Franca Do Campo,PT,37.7167,-25.4333,52.21,79,21,4.63,few clouds
23,Alekseyevka,RU,50.6309,38.6903,34.09,91,100,18.45,snow
24,Bereda,ES,43.2686,-7.5406,36.14,100,83,2.17,broken clouds
25,Ribeira Grande,PT,38.5167,-28.7,53.78,85,9,5.99,clear sky
26,Cape Town,ZA,-33.9258,18.4232,69.1,82,20,2.3,few clouds
27,Upernavik,GL,72.7868,-56.1549,-16.53,71,100,4.74,overcast clouds
28,Hermanus,ZA,-34.4187,19.2345,68.81,88,30,5.01,scattered clouds
29,Victoria,HK,22.2855,114.1577,59.25,78,50,11.01,scattered clouds
30,Port Lincoln,AU,-34.7333,135.8667,61.77,56,100,15.5,overcast clouds
31,Carnarvon,AU,-24.8667,113.6333,83.35,59,18,4.97,few clouds
32,Saldanha,ZA,-33.0117,17.9442,68.05,98,50,6.44,scattered clouds
33,Kapaa,US,22.0752,-159.319,80.92,72,20,8.05,few clouds
34,Bredasdorp,ZA,-34.5322,20.0403,69.44,80,35,5.64,scattered clouds
35,Pevek,RU,69.7008,170.3133,-28.62,100,100,6.6,overcast clouds
36,Norman Wells,CA,65.282,-126.8329,-3.96,84,75,0.0,broken clouds
37,Port Alfred,ZA,-33.5906,26.891,75.18,80,100,5.44,overcast clouds
