City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kirakira,SB,84.02,light rain,-10.4544,161.9205,No hotel found
3,Kilindoni,TZ,79.95,overcast clouds,-7.9139,39.6668,No hotel found
6,Faanui,PF,80.82,light rain,-16.4833,-151.75,No hotel found
7,Mahebourg,MU,78.26,moderate rain,-20.4081,57.7,No hotel found
8,Avarua,CK,78.85,light rain,-21.2078,-159.775,No hotel found
9,East London,ZA,77.7,broken clouds,-33.0153,27.9116,No hotel found
10,Bahia Honda,CU,71.6,scattered clouds,22.9036,-83.1592,No hotel found
11,Rikitea,PF,78.12,broken clouds,-23.1203,-134.9692,No hotel found
14,Kollam,IN,70.92,clear sky,8.8833,76.6,No hotel found
17,Coihaique,CL,84.81,clear sky,-45.5752,-72.0662,No hotel found
31,Carnarvon,AU,83.35,few clouds,-24.8667,113.6333,No hotel found
33,Kapaa,US,80.92,few clouds,22.0752,-159.319,No hotel found
37,Port Alfred,ZA,75.18,overcast clouds,-33.5906,26.891,No hotel found
38,Gouyave,GD,75.97,few clouds,12.1646,-61.7296,No hotel found
41,Mar Del Plata,AR,73.42,light rain,-38.0023,-57.5575,No hotel found
43,Lorengau,PG,83.66,overcast clouds,-2.0226,147.2712,No hotel found
46,Port Elizabeth,ZA,79.11,overcast clouds,-33.918,25.5701,No hotel found
48,Venezuela,VE,85.01,scattered clouds,8.0,-66.0,No hotel found
50,Vaini,TO,86.16,broken clouds,-21.2,-175.2,No hotel found
52,Tamiahua,MX,72.55,broken clouds,21.2667,-97.45,No hotel found
53,Kimbe,PG,79.16,light rain,-5.5502,150.1429,No hotel found
54,Cidreira,BR,74.12,overcast clouds,-30.1811,-50.2056,No hotel found
57,Cacoal,BR,71.33,moderate rain,-11.4386,-61.4472,No hotel found
58,Kiunga,PG,80.65,overcast clouds,-6.1219,141.2906,No hotel found
61,Mataura,NZ,77.63,clear sky,-46.1927,168.8643,No hotel found
64,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,No hotel found
67,Chabahar,IR,71.22,broken clouds,25.2919,60.643,No hotel found
69,Pemba,MZ,79.5,light rain,-12.974,40.5178,No hotel found
71,Sao Sebastiao,BR,75.85,broken clouds,-23.76,-45.4097,No hotel found
76,Brits,ZA,74.17,overcast clouds,-25.6347,27.7802,No hotel found
79,Hithadhoo,MV,81.28,few clouds,-0.6,73.0833,No hotel found
80,San Patricio,US,82.49,scattered clouds,28.017,-97.5169,No hotel found
83,Bambous Virieux,MU,78.22,moderate rain,-20.3428,57.7575,No hotel found
85,Kahului,US,86.02,few clouds,20.8947,-156.47,No hotel found
88,Puerto Ayora,EC,76.55,broken clouds,-0.7393,-90.3518,No hotel found
92,Otautau,NZ,78.04,few clouds,-46.15,168.0,No hotel found
93,Mahibadhoo,MV,80.13,broken clouds,3.7833,72.9667,No hotel found
97,Souillac,MU,77.38,light rain,-20.5167,57.5167,No hotel found
98,Sawtell,AU,84.18,scattered clouds,-30.3833,153.1,No hotel found
100,Sao Felix Do Xingu,BR,70.5,light rain,-6.6447,-51.995,No hotel found
103,Butaritari,KI,81.0,light rain,3.0707,172.7902,No hotel found
104,Vryburg,ZA,71.73,clear sky,-26.9566,24.7284,No hotel found
105,Sawakin,SD,71.94,overcast clouds,19.1059,37.3321,No hotel found
109,Ende,ID,81.32,overcast clouds,-8.8432,121.6623,No hotel found
111,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,No hotel found
114,Tuatapere,NZ,73.98,scattered clouds,-46.1333,167.6833,No hotel found
115,Praia,CV,72.14,clear sky,14.9215,-23.5087,No hotel found
116,Ngunguru,NZ,72.63,clear sky,-35.6167,174.5,No hotel found
122,Sao Jose Da Coroa Grande,BR,77.22,scattered clouds,-8.8978,-35.1478,No hotel found
123,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,No hotel found
130,Atuona,PF,78.22,scattered clouds,-9.8,-139.0333,No hotel found
133,Rio Grande,BR,75.31,scattered clouds,-32.035,-52.0986,No hotel found
135,Bairiki,KI,84.2,light rain,1.3292,172.9752,No hotel found
137,Entre Rios,BR,71.28,scattered clouds,-11.9419,-38.0844,No hotel found
138,Progreso,MX,86.11,broken clouds,21.2833,-89.6667,No hotel found
139,Fare,PF,80.83,light rain,-16.7,-151.0167,No hotel found
140,Galle,LK,70.18,overcast clouds,6.0367,80.217,No hotel found
